Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 1 0 0 0 0 0 0 98 1 0 0 1085 1045 9 502 0 1.74 2.87 5.05 0 0 131753796 86319108 45434688 2740 0 84054712 1196064 24632 79916 411516 0 4194300 92712 4101588 0 0 2676 0 0 2826476 7692 4 5382 5 0 0 0 123964 62 1 63 7688 4 7692 1 0 1
1 0 1 0 1 0 0 0 98 2 0 0 1296 2661 60 562 2 1.92 2.89 5.04 3 1 131753796 86525176 45228620 2740 0 84077556 1196016 24952 219588 1088144 0 4194300 92712 4101588 0 0 2712 0 0 2848380 24600 0 29824 0 0 0 0 123964 146 0 146 21128 0 21128 3 0 3
2 0 6 0 1 0 0 0 92 6 0 0 3332 1487 0 562 4 1.92 2.89 5.04 3 1 131753796 86808776 44945020 2740 0 84152776 1196160 25116 435580 1296936 0 4194300 92712 4101588 0 0 2708 0 0 2922588 75756 46 16858 0 0 0 0 123964 335 10 345 77268 46 77314 0 1 1
3 0 6 1 3 0 0 0 90 7 0 0 4477 1829 0 562 3 1.92 2.89 5.04 5 1 131753796 87248820 44504976 2740 0 84270232 1196384 25116 733252 1619052 0 4194300 92712 4101588 0 0 2568 0 0 3040260 116696 212 29223 0 0 0 0 123956 397 4 401 115200 212 115412 0 0 0
4 0 5 0 2 0 0 0 92 6 0 0 4143 1614 0 562 1 1.92 2.89 5.04 3 1 131753796 87589284 44164512 2740 0 84369192 1196672 25116 996544 1859332 0 4194300 92712 4101588 0 0 2512 0 0 3140012 100460 0 20378 0 0 0 0 123956 388 0 388 102388 0 102388 0 0 0
5 0 5 0 2 0 0 0 93 6 0 0 3836 1412 0 562 2 1.92 2.89 5.04 2 2 131753796 87853164 43900632 2740 0 84443460 1196896 25116 1204028 2048812 0 4194300 92712 4101588 0 0 2516 0 0 3213356 73312 8 17482 0 0 0 0 123956 316 1 317 73580 8 73588 0 0 0
6 0 6 0 3 0 0 0 91 7 0 0 5235 1734 0 562 3 2.09 2.91 5.04 2 2 131753796 88277080 43476716 2740 0 84557392 1197208 25332 1501368 2358824 0 4194300 92712 4101588 0 0 2524 0 0 3327924 113916 0 27264 0 0 0 0 123956 385 0 385 113408 0 113408 0 0 0
7 0 6 0 3 0 0 0 90 7 0 0 5222 1758 0 562 2 2.09 2.91 5.04 2 2 131753796 88688644 43065152 2740 0 84675744 1197480 25332 1777340 2649360 0 4194300 92712 4101588 0 0 2532 0 0 3445812 118604 0 24901 0 0 0 0 123956 388 0 388 118060 0 118060 0 0 0
8 0 6 0 3 0 0 0 91 6 0 0 4830 1732 0 562 3 2.09 2.91 5.04 3 1 131753796 89111544 42642252 2740 0 84794364 1197864 25332 2103708 2946212 0 4194300 92712 4101588 0 0 2532 0 0 3559428 119136 0 26632 0 0 0 0 123956 414 0 414 120964 0 120964 0 0 0
9 0 36 2 2 0 0 0 60 38 0 0 263758 18227 0 562 43 2.09 2.91 5.04 43 1 131753796 89896888 41856908 2740 0 84842776 1197808 25156 2911456 3396068 0 4194300 92712 4101588 0 0 2416 0 0 3608324 117396 0 81831 0 0 0 0 123860 347 0 347 116884 0 116884 0 0 0
10 0 97 1 0 0 0 0 1 98 0 0 178507 4934 2 564 42 2.09 2.91 5.04 43 1 131753796 90401136 41352660 2740 0 84843588 1197896 25156 3303208 3398380 0 4194300 92712 4101588 0 0 2428 0 0 3608208 100712 0 93512 0 0 0 0 123860 362 0 362 99772 0 99772 0 0 0
11 0 98 1 0 0 0 0 1 99 0 0 252025 4124 0 564 42 6.16 3.74 5.30 42 2 131753796 90912056 40841740 2740 0 84834004 1198088 25156 3838096 3398380 0 4194300 92712 4101588 0 0 2436 0 0 3597860 104380 0 110047 0 0 0 0 123860 364 0 364 105420 0 105420 0 0 0
12 0 77 1 1 0 0 0 21 78 0 0 87902 5137 0 564 6 6.16 3.74 5.30 4 2 131753796 91726664 40027132 2740 0 85157504 1198696 25156 4231132 3398380 0 4194300 92712 4101588 0 0 329784 0 0 3918752 114136 0 88851 0 0 0 0 123860 378 0 378 113828 0 113828 0 0 0
13 0 4 1 5 0 0 0 91 5 0 0 19025 1567 0 564 1 6.16 3.74 5.30 3 3 131753796 92217304 39536492 2740 0 85473652 1199808 25156 4434828 3398380 0 4194300 92712 4101588 0 0 266900 0 0 4235072 65064 379284 23488 0 0 0 0 124852 226 614 840 64748 310672 375420 2 1 3
14 0 5 0 3 0 0 0 91 6 0 0 3537 1696 0 564 2 6.16 3.74 5.30 3 1 131753796 92481372 39272424 2740 0 85474540 1199984 25156 4664492 3398380 0 4194300 92712 4101588 0 0 267476 0 0 4234988 99272 0 22525 0 0 0 0 124052 331 135 466 98876 68612 167488 0 0 0
15 0 6 0 3 0 0 0 91 6 0 0 3867 2043 0 564 3 6.16 3.74 5.30 3 1 131753796 92786884 38966912 2740 0 85469656 1200064 25156 4995336 3398380 0 4194300 92712 4101588 0 0 267488 0 0 4230592 123256 0 25400 0 0 0 0 124052 400 0 400 122880 0 122880 0 0 0
16 0 29 1 2 0 0 0 68 30 0 0 225243 2745 0 564 42 8.47 4.26 5.46 42 2 131753796 93384992 38368804 2740 0 85470468 1199984 25156 5707788 3714148 0 4194300 92712 4101588 0 0 267496 0 0 4225828 102856 0 50680 0 0 0 0 124052 331 0 331 102348 0 102348 0 0 0
17 0 98 1 0 0 0 0 1 98 0 0 125489 4327 0 564 43 8.47 4.26 5.46 43 3 131753796 93837144 37916652 2740 0 85471756 1200016 25156 6105448 3714148 0 4194300 92712 4101588 0 0 267504 0 0 4228296 91116 0 79140 0 0 0 0 124052 328 0 328 92652 0 92652 0 0 0
