Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 489 1049 2 503 0 0.02 0.03 0.05 0 0 131753796 28976584 102777212 9068 0 27632280 296212 25372 37584 403592 0 4194300 84712 4109588 0 0 0 0 0 2677488 0 0 512 0 0 0 0 126604 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 100 0 0 0 1098 3136 0 503 0 0.02 0.03 0.05 0 0 131753796 28981748 102772048 9068 0 27632720 296476 25416 44056 405640 0 4194300 84712 4109588 0 0 4 0 0 2677744 0 0 696 0 0 0 0 126868 0 0 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 1873 5351 0 503 1 0.02 0.03 0.05 1 0 131753796 28990676 102763120 9068 0 27632720 296476 25420 53448 416024 0 4194300 84712 4109588 0 0 4 0 0 2677744 0 0 2322 0 0 0 0 126868 0 0 0 0 0 0 0 0 0
3 2 0 0 0 0 0 0 98 2 0 0 1448 1858 9 495 1 0.10 0.05 0.05 1 0 131753796 28989396 102764400 9064 0 27634996 296500 24988 47160 405724 0 4194300 84700 4109600 0 0 8 0 0 2680308 2716 0 7213 10 0 0 0 126892 169 0 169 2716 0 2716 0 0 0
4 2 0 0 0 0 0 0 98 2 0 0 1195 1110 5 498 1 0.10 0.05 0.05 1 0 131753796 28998880 102754916 9068 0 27640888 296412 27444 57436 411396 0 4194300 84700 4109600 0 0 32 0 0 2685340 5648 0 4277 13 0 0 0 126804 48 0 48 5648 0 5648 0 0 0
5 0 0 0 1 0 0 0 98 0 0 0 1122 3060 69 567 0 0.10 0.05 0.05 0 1 131753796 29026880 102726916 9068 0 27664004 296412 30508 57896 944412 0 4194300 84700 4109600 0 0 36 0 0 2709028 24268 0 2127 7 0 0 0 126804 265 0 265 24236 0 24236 0 0 0
6 0 1 1 0 0 0 0 98 2 0 0 1311 588 0 567 1 0.10 0.05 0.05 1 0 131753796 30599808 101153988 9068 0 27665924 296412 30560 1451784 3673968 0 4194300 84700 4109600 0 0 36 0 0 2710548 1408 0 95659 0 0 0 0 126804 18 0 18 1440 0 1440 0 0 0
7 0 2 0 0 0 0 0 97 3 0 0 1161 460 0 567 1 0.10 0.05 0.05 2 0 131753796 30721856 101031940 9068 0 27665924 296412 30584 1747644 3787656 0 4194300 84700 4109600 0 0 36 0 0 2710548 0 0 7007 0 0 0 0 126804 0 0 0 0 0 0 0 0 0
8 0 3 0 0 0 0 0 97 3 0 0 1304 935 2 565 1 0.25 0.08 0.06 1 0 131753796 30721236 101032560 9068 0 27666264 296404 29920 1749348 3781432 0 4194300 84656 4109644 8192 0 52 0 0 2710832 12 78 13641 1 0 0 0 126796 2 13 15 12 78 90 1 1 2
9 0 2 0 0 0 0 0 97 3 0 0 1208 502 0 565 1 0.25 0.08 0.06 1 0 131753796 30720924 101032872 9108 0 27666288 296404 29852 1748744 3781432 0 4194300 84656 4109644 0 0 76 0 0 2710896 0 0 12572 0 0 0 0 126796 0 0 0 0 0 0 0 0 0
10 0 2 0 0 0 0 0 97 3 0 0 1160 439 0 565 1 0.25 0.08 0.06 1 0 131753796 30720736 101033060 9084 0 27666260 296404 29852 1748752 3781432 0 4194300 84656 4109644 0 0 76 0 0 2710896 0 0 12428 0 0 0 0 126796 0 0 0 0 0 0 0 0 0
11 0 2 0 0 0 0 0 97 3 0 0 1106 183 0 565 1 0.25 0.08 0.06 1 0 131753796 30737232 101016564 9076 0 27666252 296372 29396 1765260 3798696 0 4194300 84656 4109644 0 0 76 0 0 2710704 0 0 29350 0 0 0 0 126764 0 0 0 0 0 0 0 0 0
12 0 2 0 0 0 0 0 97 3 0 0 1124 175 0 565 1 0.25 0.08 0.06 1 0 131753796 30737024 101016772 9076 0 27666252 296372 29396 1765260 3798696 0 4194300 84656 4109644 0 0 76 0 0 2710704 0 46 23485 0 0 0 0 126764 0 9 9 0 46 46 0 1 1
13 0 1 1 0 0 0 0 97 3 0 0 1196 343 0 565 1 0.31 0.10 0.07 1 0 131753796 33446336 98307460 9076 0 27666256 296372 30220 4440832 65233952 0 4194300 84656 4109644 0 0 80 0 0 2710704 0 84 1755 0 0 0 0 126764 0 15 15 0 84 84 0 1 1
14 0 0 2 0 0 0 0 97 3 0 0 1166 244 2 567 1 0.31 0.10 0.07 1 0 131753796 37139928 94613868 9076 0 27666256 296372 30268 8127460 65236264 0 4194300 84656 4109644 0 0 80 0 0 2710704 0 60 2089 0 0 0 0 126764 0 9 9 0 60 60 0 0 0
15 0 0 2 0 0 0 0 97 3 0 0 1123 186 0 567 1 0.31 0.10 0.07 1 0 131753796 40833516 90920280 9076 0 27666256 296372 30268 11813860 65236264 0 4194300 84656 4109644 0 0 80 0 0 2710704 0 0 1801 0 0 0 0 126764 0 0 0 0 0 0 0 0 0
16 0 0 2 0 0 0 0 97 3 0 0 1120 189 0 567 1 0.31 0.10 0.07 1 0 131753796 44526956 87226840 9076 0 27666256 296372 30268 15500292 65236264 0 4194300 84656 4109644 0 0 80 0 0 2710704 0 0 1801 0 0 0 0 126764 0 0 0 0 0 0 0 0 0
17 0 0 2 0 0 0 0 97 3 0 0 1183 257 0 567 1 0.31 0.10 0.07 2 0 131753796 48220672 83533124 9076 0 27666256 296372 30268 19186696 65236264 0 4194300 84656 4109644 0 0 80 0 0 2710704 0 0 1827 0 0 0 0 126764 0 0 0 0 0 0 0 0 0
18 0 0 2 0 0 0 0 97 3 0 0 1135 224 0 567 1 0.36 0.11 0.07 1 0 131753796 51914208 79839588 9076 0 27666264 296356 30268 22873096 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710704 0 8 1801 0 0 0 0 126748 0 1 1 0 8 8 0 1 1
19 0 0 2 0 0 0 0 97 3 0 0 1135 222 0 567 1 0.36 0.11 0.07 1 0 131753796 55607832 76145964 9076 0 27666264 296356 30268 26559516 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710704 0 0 1802 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
20 0 0 2 0 0 0 0 97 3 0 0 1121 183 0 567 1 0.36 0.11 0.07 1 0 131753796 58964932 72788864 9076 0 27666264 296356 30268 29975584 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710704 0 0 1636 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
21 0 1 2 0 0 0 0 97 3 0 0 1191 274 0 567 1 0.36 0.11 0.07 1 0 131753796 62038788 69715008 9076 0 27666264 296356 30268 33045536 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710704 0 0 1500 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
22 0 0 2 0 0 0 0 97 3 0 0 1214 321 0 567 1 0.36 0.11 0.07 2 0 131753796 65116988 66636808 9076 0 27666264 296356 30308 36115628 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 1501 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
23 0 1 2 0 0 0 0 97 3 0 0 1173 287 0 567 1 0.41 0.13 0.08 1 0 131753796 68192892 63560904 9076 0 27666264 296356 30308 39187628 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 1500 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
24 0 1 2 0 0 0 0 97 3 0 0 1144 253 0 567 1 0.41 0.13 0.08 1 0 131753796 71268920 60484876 9076 0 27666264 296356 30308 42255532 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 1500 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
25 0 0 2 0 0 0 0 97 3 0 0 1286 419 0 567 1 0.41 0.13 0.08 2 0 131753796 73914336 57839460 9076 0 27666264 296356 30308 44723372 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 16626 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
26 0 0 2 0 0 0 0 97 3 0 0 1153 251 0 567 1 0.41 0.13 0.08 1 0 131753796 74766144 56987652 9076 0 27666264 296356 30308 45698432 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 88310 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
27 0 0 2 0 0 0 0 97 3 0 0 1168 274 0 567 1 0.41 0.13 0.08 2 0 131753796 75490336 56263460 9076 0 27666264 296356 30308 46427244 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 120975 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
28 0 0 2 0 0 0 0 97 3 0 0 1185 305 0 567 1 0.46 0.14 0.08 1 0 131753796 76470560 55283236 9076 0 27666264 296356 30308 47412520 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 0 203857 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
29 0 0 2 0 0 0 0 97 3 0 0 1220 345 0 567 1 0.46 0.14 0.08 1 0 131753796 77207620 54546176 9076 0 27666264 296356 30308 48131036 65236264 0 4194300 84656 4109644 0 0 16 0 0 2710700 0 4 119934 0 0 0 0 126748 0 1 1 0 4 4 0 0 0
30 0 0 2 0 0 0 0 98 2 0 0 1146 236 0 567 1 0.46 0.14 0.08 1 0 131753796 78063732 53690064 9076 0 27666264 296356 30308 48994256 65236264 0 4194300 84656 4109644 0 0 12 0 0 2710700 0 0 165778 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
31 0 0 2 0 0 0 0 97 3 0 0 1155 256 0 567 1 0.46 0.14 0.08 1 0 131753796 78972736 52781060 9076 0 27666264 296356 30308 49906960 65236264 0 4194300 84656 4109644 0 0 12 0 0 2710700 0 0 179498 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
32 0 0 2 0 0 0 0 97 3 0 0 1177 306 0 567 1 0.46 0.14 0.08 1 0 131753796 79809352 51944444 9076 0 27666264 296356 30308 50732284 65236264 0 4194300 84656 4109644 0 0 12 0 0 2710700 0 0 157798 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
33 0 0 2 0 0 0 0 97 3 0 0 1215 354 0 567 1 0.50 0.15 0.09 1 0 131753796 81124924 50628872 9076 0 27666264 296356 30308 52041128 65236264 0 4194300 84656 4109644 0 0 12 0 0 2710700 0 0 284552 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
34 0 0 2 0 0 0 0 97 3 0 0 1180 319 0 567 1 0.50 0.15 0.09 1 0 131753796 82381880 49371916 9076 0 27666264 296356 30308 53324428 65236264 0 4194300 84656 4109644 0 0 8 0 0 2710700 0 4 254814 0 0 0 0 126748 0 1 1 0 4 4 0 0 0
35 0 0 2 0 0 0 0 97 3 0 0 1128 204 0 567 1 0.50 0.15 0.09 1 0 131753796 84111700 47642096 9076 0 27666264 296356 30308 55051476 65236264 0 4194300 84656 4109644 0 0 8 0 0 2710700 0 0 410245 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
36 0 0 2 0 0 0 0 97 3 0 0 1149 252 0 567 1 0.50 0.15 0.09 1 0 131753796 85289560 46464236 9076 0 27666264 296356 30308 56226744 65236264 0 4194300 84656 4109644 0 0 8 0 0 2710700 0 0 233492 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
37 0 0 2 0 0 0 0 97 3 0 0 1199 291 0 567 1 0.50 0.15 0.09 2 0 131753796 86707588 45046208 9076 0 27666264 296356 30308 57599164 65236264 0 4194300 84656 4109644 0 0 8 0 0 2710700 0 0 292029 0 0 0 0 126748 0 0 0 0 0 0 0 0 0
