Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 240 588 12 713 0 0.00 0.01 0.05 0 1 131804000 53791536 78012464 58324 408 26427168 310320 22720 25978208 2589448 0 0 0 0 0 0 12 0 0 1409228 4032 0 2314 3 0 0 0 141724 11 0 11 2520 0 2520 0 0 0
1 0 0 0 2 0 0 0 98 0 0 0 430 902 2 711 0 0.00 0.01 0.05 0 0 131804000 53805496 77998504 58324 408 26435896 310152 24048 25981404 2607460 0 0 0 0 0 0 28 0 0 1418452 10424 16 2504 9 0 0 0 141556 54 1 55 10700 16 10716 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 567 1061 6 715 0 0.00 0.01 0.05 0 0 131804000 53807872 77996128 58320 408 26436392 310112 25988 25984400 2614280 0 0 0 0 0 0 28 0 0 1418680 56 0 2007 0 0 0 0 141516 8 0 8 1300 0 1300 0 0 0
3 0 0 0 0 0 0 0 100 0 0 0 879 2581 1 716 0 0.00 0.01 0.05 0 0 131804000 53814868 77989132 58292 408 26437040 310112 27184 25991620 2616328 0 0 0 0 0 0 28 0 0 1419580 0 32 590 0 0 0 0 141516 0 7 7 0 32 32 0 0 0
4 0 0 0 0 0 0 0 100 0 0 0 987 3099 2 716 0 0.00 0.01 0.05 1 0 131804000 53818092 77985908 58292 408 26437040 310112 27200 25994972 2619400 0 0 0 0 0 0 28 0 0 1419580 0 0 807 0 0 0 0 141516 0 0 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0 100 0 0 0 931 2911 0 716 0 0.00 0.01 0.05 0 0 131804000 53822184 77981816 58292 408 26437040 310112 27284 25999040 2622984 0 0 0 0 0 0 28 0 0 1419580 0 0 959 0 0 0 0 141516 0 0 0 0 0 0 0 0 0
6 1 0 0 0 0 0 0 98 1 0 0 1750 2994 7 709 3 0.00 0.01 0.05 2 0 131804000 53819156 77984844 58296 408 26439820 310112 27452 25994928 2616436 0 0 0 0 0 0 28 0 0 1421616 2716 0 7456 10 0 0 0 141516 168 0 168 2716 0 2716 0 0 0
7 1 0 0 0 0 0 0 99 1 0 0 1064 1226 5 712 0 0.00 0.01 0.05 0 0 131804000 53829652 77974348 58296 408 26445492 310112 29696 25998776 2621952 0 0 0 0 0 0 40 0 0 1426740 5888 0 3083 13 0 0 0 141516 75 0 75 5880 0 5880 0 0 0
8 0 0 1 1 0 0 0 98 1 0 0 1804 3332 71 781 1 0.08 0.03 0.05 1 0 131804000 54413684 77390316 58300 408 26470972 310140 32824 26442396 4861684 0 0 0 0 0 0 56 0 0 1452448 25444 0 54445 7 0 0 0 141544 257 0 257 25452 0 25452 0 0 0
9 0 2 1 0 0 0 0 97 3 0 0 1183 345 0 781 2 0.08 0.03 0.05 1 0 131804000 55562004 76241996 58296 408 26470864 310140 32560 27698280 5998564 0 0 0 0 0 0 68 0 0 1452524 0 0 46683 0 0 0 0 141544 0 0 0 0 0 0 0 0 0
10 0 3 0 0 0 0 0 97 3 0 0 1240 588 2 781 1 0.08 0.03 0.05 1 0 131804000 55561972 76242028 58296 408 26470864 310140 32560 27698304 5998564 0 0 0 0 0 0 68 0 0 1452524 0 0 10557 0 0 0 0 141544 0 0 0 0 0 0 0 0 0
11 0 2 0 0 0 0 0 97 3 0 0 1237 485 0 781 1 0.08 0.03 0.05 1 0 131804000 55561740 76242260 58296 408 26470876 310140 32564 27698448 5998564 0 0 0 0 0 0 80 0 0 1452524 0 0 11782 0 0 0 0 141544 0 0 0 0 0 0 0 0 0
12 0 2 0 0 0 0 0 98 2 0 0 1271 664 2 781 1 0.08 0.03 0.05 1 0 131804000 55561476 76242524 58296 408 26470876 310140 32564 27698460 5998564 0 0 0 0 0 0 80 0 0 1452524 0 0 11787 0 0 0 0 141544 0 0 0 0 0 0 0 0 0
